length_url,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,status
34,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
92,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
102,2,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0
32,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
119,4,1,0,1,0,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,1
59,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0
54,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
151,3,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1
84,3,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
55,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
18,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
28,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
32,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
16,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
29,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1
41,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
22,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
52,3,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,0,1
38,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1
30,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
76,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1
430,24,0,1,2,9,0,10,18,0,0,21,0,5,0,9,0,0,1,0,1,1
37,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
73,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
56,2,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,3,1,0,0,1
70,1,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
70,3,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1
52,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
31,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
90,4,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,1,0,1
45,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
55,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0
65,3,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1
41,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1
71,2,1,0,1,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,1
83,2,0,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,1
73,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
44,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
114,4,1,0,1,0,0,1,0,0,0,8,0,2,0,0,0,0,1,0,1,1
127,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1
99,4,0,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1
56,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,1
51,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
51,5,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1
40,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
33,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1
88,2,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0
122,2,0,0,0,0,0,0,13,0,0,5,0,1,0,0,0,0,1,2,0,0
53,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
46,6,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
36,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
48,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0
101,2,0,0,1,2,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,1
41,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
43,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
15,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
42,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
51,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
48,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1
49,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0
25,1,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1
49,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
48,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
108,4,1,1,1,0,0,0,0,0,1,6,0,1,0,0,0,0,1,1,0,1
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1
80,4,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
36,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
28,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
33,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
23,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
77,2,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
342,5,6,1,0,5,0,4,0,0,8,5,0,1,0,2,0,1,1,0,0,1
38,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
73,2,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
33,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
67,3,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,1
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
26,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
39,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
62,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1
41,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
40,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
51,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
59,2,3,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,0,0
50,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0
52,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1
43,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1
94,3,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
60,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0
18,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
204,2,1,0,1,0,0,2,3,0,0,5,0,1,0,0,0,0,0,0,0,1
94,7,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1
41,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1
19,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
35,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
63,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
53,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1
75,4,3,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
35,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
210,4,1,0,1,10,0,11,0,0,6,3,0,1,0,0,0,0,2,0,0,1
44,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
150,5,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1
39,3,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1
64,2,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,1
106,4,4,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,1,0,0,1
34,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
65,2,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0
60,3,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,1
25,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
38,3,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
129,2,1,0,1,0,0,5,7,0,0,6,0,1,0,0,0,0,0,0,0,1
52,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
30,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
33,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
118,3,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
78,3,0,0,0,0,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0
35,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
32,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
64,5,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
38,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
24,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
68,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
126,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,1
41,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0
48,2,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
50,3,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,0,0,0
126,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1
39,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0
102,1,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
86,3,1,0,1,0,0,1,0,0,1,4,0,1,0,0,0,1,1,0,0,1
78,2,4,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0
29,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
33,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
27,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
39,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
28,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
102,3,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,1
43,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0
27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
101,2,9,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
60,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
38,3,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
137,3,0,0,0,0,0,0,1,0,34,4,0,1,0,0,0,0,1,0,0,0
263,14,1,0,1,1,0,1,2,0,2,5,0,1,0,1,0,0,1,1,0,1
22,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
89,3,0,0,1,1,0,1,1,0,0,6,0,1,0,1,0,0,0,1,0,1
28,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
49,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
45,4,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
30,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
54,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
29,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
86,3,1,1,1,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,0,1
26,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
83,2,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,1,0,0,0
49,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
33,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
40,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
56,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
70,3,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
128,10,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
25,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
33,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
52,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0
31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
41,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
33,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
32,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
66,3,1,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
85,2,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0
52,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0
109,3,8,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
84,1,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
110,2,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1
171,2,1,0,1,2,0,3,0,0,0,7,0,1,0,0,0,0,0,0,0,1
17,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
98,4,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,1
32,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
28,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
64,3,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,1
40,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
132,2,1,0,0,0,0,0,2,0,0,7,0,3,0,0,0,0,0,1,0,1
124,2,2,0,1,0,0,1,4,0,0,7,0,3,0,0,0,0,0,1,0,1
51,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
141,2,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1
126,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1
21,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
53,2,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,1,0,0,0
27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
76,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
79,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
77,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
35,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
56,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
49,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
41,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
84,2,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,2,0,0,0,1
29,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
21,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
35,3,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0
28,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
97,5,0,1,1,0,0,1,0,0,0,7,0,1,0,0,0,0,1,0,0,1
36,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
63,3,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
24,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
40,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
85,2,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
56,5,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
49,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
23,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
64,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
46,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
36,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
29,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
